"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"1,51";"2017-11-16 00:00:00"
"GSA Capital Partners LLP";"Flow Traders N.V.";"NL0011279492";"0,80";"2017-11-16 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,98";"2017-11-16 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,48";"2017-11-16 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,89";"2017-11-16 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,69";"2017-11-16 00:00:00"
"Paloma Partners Management Company";"Gemalto N.V.";"NL0000400653";"0,50";"2017-11-16 00:00:00"
"TCI Fund Management Ltd.";"Steinhoff International Holdings N.V.";"NL0011375019";"0,56";"2017-11-16 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"0,95";"2017-11-16 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"1,06";"2017-11-16 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"1,53";"2017-11-15 00:00:00"
"Citadel Advisors II LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0,60";"2017-11-15 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"2,01";"2017-11-15 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,70";"2017-11-15 00:00:00"
"Marshall Wace LLP";"Koninklijke Vopak N.V.";"NL0009432491";"0,82";"2017-11-15 00:00:00"
"Millennium International Management LP";"Gemalto N.V.";"NL0000400653";"0,81";"2017-11-15 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"0,86";"2017-11-15 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,98";"2017-11-15 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"2,16";"2017-11-14 00:00:00"
"AXA Investment Managers Chorus Limited";"Fugro N.V.";"NL0000352565";"1,10";"2017-11-14 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,69";"2017-11-14 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,70";"2017-11-14 00:00:00"
"GSA Capital Partners LLP";"Flow Traders N.V.";"NL0011279492";"0,78";"2017-11-14 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,97";"2017-11-14 00:00:00"
"Marshall Wace LLP";"ArcelorMittal S.A.";"LU1598757687";"0,51";"2017-11-14 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0,69";"2017-11-14 00:00:00"
"WorldQuant, LLC";"Gemalto N.V.";"NL0000400653";"0,56";"2017-11-14 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,88";"2017-11-14 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,25";"2017-11-13 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"1,42";"2017-11-13 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"2,07";"2017-11-13 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0,61";"2017-11-13 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,89";"2017-11-13 00:00:00"
"Marshall Wace LLP";"Koninklijke Vopak N.V.";"NL0009432491";"0,74";"2017-11-13 00:00:00"
"WorldQuant, LLC";"Gemalto N.V.";"NL0000400653";"0,63";"2017-11-13 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,73";"2017-11-13 00:00:00"
"Contour Asset Management LLC";"Gemalto N.V.";"NL0000400653";"0,92";"2017-11-10 00:00:00"
"GLG Partners LP";"Philips Lighting N.V.";"NL0011821392";"0,71";"2017-11-10 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,92";"2017-11-10 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,53";"2017-11-10 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,91";"2017-11-10 00:00:00"
"Millennium International Management LP";"Gemalto N.V.";"NL0000400653";"0,72";"2017-11-10 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,60";"2017-11-10 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,37";"2017-11-09 00:00:00"
"BlackRock Investment Management (UK) Limited";"Basic-Fit N.V.";"NL0011872650";"0,99";"2017-11-09 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,69";"2017-11-09 00:00:00"
"Davidson Kempner European Partners, LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,69";"2017-11-09 00:00:00"
"GSA Capital Partners LLP";"Flow Traders N.V.";"NL0011279492";"0,62";"2017-11-09 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,43";"2017-11-09 00:00:00"
"Marshall Wace LLP";"Koninklijke Vopak N.V.";"NL0009432491";"0,61";"2017-11-09 00:00:00"
"WorldQuant, LLC";"Gemalto N.V.";"NL0000400653";"0,50";"2017-11-09 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"1,31";"2017-11-08 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,70";"2017-11-08 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,18";"2017-11-08 00:00:00"
"BlackRock Institutional Trust Company, National Association";"SBM Offshore N.V.";"NL0000360618";"0,59";"2017-11-08 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,81";"2017-11-08 00:00:00"
"Lone Pine Capital LLC";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0,51";"2017-11-08 00:00:00"
"Marshall Wace LLP";"Flow Traders N.V.";"NL0011279492";"1,51";"2017-11-08 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,32";"2017-11-08 00:00:00"
"Millennium International Management LP";"Gemalto N.V.";"NL0000400653";"0,64";"2017-11-08 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,49";"2017-11-07 00:00:00"
"Aravt Global";"Philips Lighting N.V.";"NL0011821392";"0,53";"2017-11-07 00:00:00"
"AXA Investment Managers Chorus Limited";"Fugro N.V.";"NL0000352565";"1,00";"2017-11-07 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,72";"2017-11-07 00:00:00"
"Marshall Wace LLP";"Koninklijke Vopak N.V.";"NL0009432491";"0,50";"2017-11-07 00:00:00"
"Oxford Asset Management";"Fugro N.V.";"NL0000352565";"0,50";"2017-11-07 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"0,79";"2017-11-07 00:00:00"
