"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"1,13";"2016-11-08 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,72";"2016-11-08 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,20";"2016-11-07 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,80";"2016-11-02 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,50";"2016-11-01 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,61";"2016-11-01 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,81";"2016-10-28 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,22";"2016-10-27 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,83";"2016-10-27 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,59";"2016-10-27 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,75";"2016-10-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,58";"2016-10-24 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,64";"2016-10-24 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,15";"2016-10-21 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,99";"2016-10-20 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"2,34";"2016-10-20 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,79";"2016-10-18 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"2,00";"2016-10-18 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,19";"2016-10-14 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,87";"2016-10-11 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"0,81";"2016-10-11 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,81";"2016-10-10 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,47";"2016-10-10 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1,00";"2016-10-07 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,29";"2016-10-05 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"0,83";"2016-10-03 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,39";"2016-09-30 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,90";"2016-09-26 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,48";"2016-09-16 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,80";"2016-09-12 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,27";"2016-09-08 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,67";"2016-09-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,70";"2016-09-02 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,58";"2016-09-01 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"0,54";"2016-08-31 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,71";"2016-08-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,69";"2016-08-24 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,69";"2016-08-24 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,10";"2016-08-18 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,79";"2016-08-16 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,63";"2016-08-12 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,87";"2016-08-12 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,77";"2016-08-12 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,00";"2016-08-05 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,70";"2016-08-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,71";"2016-08-03 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,50";"2016-08-01 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,98";"2016-07-29 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"2,09";"2016-07-26 00:00:00"
