"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,20";"2014-11-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,13";"2014-11-07 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,01";"2014-10-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,99";"2014-10-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,03";"2014-10-21 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,91";"2014-10-15 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,26";"2014-10-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,80";"2014-10-06 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,39";"2014-10-02 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,66";"2014-10-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,74";"2014-09-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,62";"2014-09-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,53";"2014-09-03 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,72";"2014-08-22 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,48";"2014-08-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,50";"2014-08-15 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,82";"2014-08-11 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,75";"2014-08-08 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,40";"2014-07-31 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,82";"2014-07-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,32";"2014-07-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,23";"2014-07-21 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,77";"2014-07-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1,00";"2014-06-24 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,52";"2014-06-18 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,42";"2014-06-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,90";"2014-06-16 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,27";"2014-06-13 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,30";"2014-06-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,81";"2014-06-09 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,20";"2014-06-09 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,06";"2014-06-06 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,96";"2014-05-23 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,81";"2014-05-20 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,70";"2014-05-19 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,69";"2014-05-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,61";"2014-05-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"0,53";"2014-04-17 00:00:00"

"Disclaimer CSV"
"Datum laatste update 03 aug 2017"
