
Importing updates of last 60 months into SourceData : XLIS.db.
Checking updates from 20121118 and adding to XLIS.db...

('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.14, '20141114', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 2.0, '20141113', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.81, '20141112', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.67, '20141111', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.42, '20141110', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.28, '20141106', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.14, '20141104', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.03, '20141008', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.93, '20141006', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.89, '20141003', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.7, '20141002', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.52, '20140930', 'XLIS', '20171118_15h06')
('CONTOUR ASSET MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.53, '20140709', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.64, '20140624', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.72, '20140619', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.86, '20140618', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.09, '20140611', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.3, '20140610', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.4, '20140606', 'XLIS', '20171118_15h06')
('DISCOVERY CAPITAL MANAGEMENT LLC *', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.68, '20140605', 'XLIS', '20171118_15h06')
