Extracting raw source data: XBRU
Checking updates from 20161024 and adding to XBRU.db...

('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161118', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161119', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161119', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161120', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161120', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161121', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161121', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161122', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161122', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161123', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161123', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161124', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161124', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161125', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161125', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161126', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161126', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161127', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161127', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161128', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.79, '20161128', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161129', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.69, '20161129', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161130', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.69, '20161130', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161201', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.69, '20161201', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161202', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.69, '20161202', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161203', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.69, '20161203', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161204', 'XBRU', '20170424_22h30')
